Acronym, ID, redgreenblue
root, 997, 255255255
grey, 8, 191218227
CH, 567, 176240255
CTX, 688, 176255184
CTXpl, 695, 112255112
Isocortex, 315, 112255113
FRP, 184, 3814369
FRP1, 68, 3814369
FRP2/3, 667, 3814369
FRP5, 526157192, 3814369
FRP6a, 526157196, 3814369
FRP6b, 526322264, 3814369
MO, 500, 3115790
MO1, 107, 3115790
MO2/3, 219, 3115790
MO5, 299, 3115790
MO6a, 644, 3115790
MO6b, 947, 3115790
MOp, 985, 3115790
MOp1, 320, 3115790
MOp2/3, 943, 3115790
MOp5, 648, 3115790
MOp6a, 844, 3115790
MOp6b, 882, 3115790
MOs, 993, 3115790
MOs1, 656, 3115790
MOs2/3, 962, 3115790
MOs5, 767, 3115790
MOs6a, 1021, 3115790
MOs6b, 1085, 3115790
SS, 453, 24128100
SS1, 12993, 24128100
SS2/3, 12994, 24128100
SS4, 12995, 24128100
SS5, 12996, 24128100
SS6a, 12997, 24128100
SS6b, 12998, 24128100
SSp, 322, 24128100
SSp1, 793, 24128100
SSp2/3, 346, 24128100
SSp4, 865, 24128100
SSp5, 921, 24128100
SSp6a, 686, 24128100
SSp6b, 719, 24128100
SSp-n, 353, 24128100
SSp-n1, 558, 24128100
SSp-n2/3, 838, 24128100
SSp-n4, 654, 24128100
SSp-n5, 702, 24128100
SSp-n6a, 889, 24128100
SSp-n6b, 929, 24128100
SSp-bfd, 329, 24128100
SSp-bfd1, 981, 24128100
SSp-bfd2/3, 201, 24128100
SSp-bfd4, 1047, 24128100
SSp-bfd5, 1070, 24128100
SSp-bfd6a, 1038, 24128100
SSp-bfd6b, 1062, 24128100
VISrll, 480149202, 24128100
VISrll1, 480149206, 24128100
VISrll2/3, 480149210, 24128100
VISrll4, 480149214, 24128100
VISrll5, 480149218, 24128100
VISrll6a, 480149222, 24128100
VISrll6b, 480149226, 24128100
SSp-ll, 337, 24128100
SSp-ll1, 1030, 24128100
SSp-ll2/3, 113, 24128100
SSp-ll4, 1094, 24128100
SSp-ll5, 1128, 24128100
SSp-ll6a, 478, 24128100
SSp-ll6b, 510, 24128100
SSp-m, 345, 24128100
SSp-m1, 878, 24128100
SSp-m2/3, 657, 24128100
SSp-m4, 950, 24128100
SSp-m5, 974, 24128100
SSp-m6a, 1102, 24128100
SSp-m6b, 2, 24128100
SSp-ul, 369, 24128100
SSp-ul1, 450, 24128100
SSp-ul2/3, 854, 24128100
SSp-ul4, 577, 24128100
SSp-ul5, 625, 24128100
SSp-ul6a, 945, 24128100
SSp-ul6b, 1026, 24128100
SSp-tr, 361, 24128100
SSp-tr1, 1006, 24128100
SSp-tr2/3, 670, 24128100
SSp-tr4, 1086, 24128100
SSp-tr5, 1111, 24128100
SSp-tr6a, 9, 24128100
SSp-tr6b, 461, 24128100
SSp-un, 182305689, 24128100
SSp-un1, 182305693, 24128100
SSp-un2/3, 182305697, 24128100
SSp-un4, 182305701, 24128100
SSp-un5, 182305705, 24128100
SSp-un6a, 182305709, 24128100
SSp-un6b, 182305713, 24128100
SSs, 378, 24128100
SSs1, 873, 24128100
SSs2/3, 806, 24128100
SSs4, 1035, 24128100
SSs5, 1090, 24128100
SSs6a, 862, 24128100
SSs6b, 893, 24128100
GU, 1057, 0156117
GU1, 36, 0156117
GU2/3, 180, 0156117
GU4, 148, 0156117
GU5, 187, 0156117
GU6a, 638, 0156117
GU6b, 662, 0156117
VISC, 677, 17173131
VISC1, 897, 17173131
VISC2/3, 1106, 17173131
VISC4, 1010, 17173131
VISC5, 1058, 17173131
VISC6a, 857, 17173131
VISC6b, 849, 17173131
AUD, 247, 1147153
AUDd, 1011, 1147153
AUDd1, 527, 1147153
AUDd2/3, 600, 1147153
AUDd4, 678, 1147153
AUDd5, 252, 1147153
AUDd6a, 156, 1147153
AUDd6b, 243, 1147153
VISlla, 480149230, 1147153
VISlla1, 480149234, 1147153
VISlla2/3, 480149238, 1147153
VISlla4, 480149242, 1147153
VISlla5, 480149246, 1147153
VISlla6a, 480149250, 1147153
VISlla6b, 480149254, 1147153
AUDp, 1002, 1147153
AUDp1, 735, 1147153
AUDp2/3, 251, 1147153
AUDp4, 816, 1147153
AUDp5, 847, 1147153
AUDp6a, 954, 1147153
AUDp6b, 1005, 1147153
AUDpo, 1027, 1147153
AUDpo1, 696, 1147153
AUDpo2/3, 643, 1147153
AUDpo4, 759, 1147153
AUDpo5, 791, 1147153
AUDpo6a, 249, 1147153
AUDpo6b, 456, 1147153
AUDv, 1018, 1147153
AUDv1, 959, 1147153
AUDv2/3, 755, 1147153
AUDv4, 990, 1147153
AUDv5, 1023, 1147153
AUDv6a, 520, 1147153
AUDv6b, 598, 1147153
VIS, 669, 8133140
VIS1, 801, 8133140
VIS2/3, 561, 8133140
VIS4, 913, 8133140
VIS5, 937, 8133140
VIS6a, 457, 8133140
VIS6b, 497, 8133140
VISal, 402, 8133140
VISal1, 1074, 8133140
VISal2/3, 905, 8133140
VISal4, 1114, 8133140
VISal5, 233, 8133140
VISal6a, 601, 8133140
VISal6b, 649, 8133140
VISam, 394, 8133140
VISam1, 281, 8133140
VISam2/3, 1066, 8133140
VISam4, 401, 8133140
VISam5, 433, 8133140
VISam6a, 1046, 8133140
VISam6b, 441, 8133140
VISl, 409, 8133140
