Acronym, ID, redgreenblue
root, 997, 255255255
FRP1, 68, 3814369
FRP2/3, 667, 3814369
FRP5, 526157192, 3814369
FRP6a, 526157196, 3814369
FRP6b, 526322264, 3814369
MOp1, 320, 3115790
MOp2/3, 943, 3115790
MOp5, 648, 3115790
MOp6a, 844, 3115790
MOp6b, 882, 3115790
MOs1, 656, 3115790
MOs2/3, 962, 3115790
MOs5, 767, 3115790
MOs6a, 1021, 3115790
MOs6b, 1085, 3115790
SSp-n1, 558, 24128100
SSp-n2/3, 838, 24128100
SSp-n4, 654, 24128100
SSp-n5, 702, 24128100
SSp-n6a, 889, 24128100
SSp-n6b, 929, 24128100
SSp-bfd1, 981, 24128100
SSp-bfd2/3, 201, 24128100
SSp-bfd4, 1047, 24128100
SSp-bfd5, 1070, 24128100
SSp-bfd6a, 1038, 24128100
SSp-bfd6b, 1062, 24128100
SSp-ll1, 1030, 24128100
SSp-ll2/3, 113, 24128100
SSp-ll4, 1094, 24128100
SSp-ll5, 1128, 24128100
SSp-ll6a, 478, 24128100
SSp-ll6b, 510, 24128100
SSp-m1, 878, 24128100
SSp-m2/3, 657, 24128100
SSp-m4, 950, 24128100
SSp-m5, 974, 24128100
SSp-m6a, 1102, 24128100
SSp-m6b, 2, 24128100
SSp-ul1, 450, 24128100
SSp-ul2/3, 854, 24128100
SSp-ul4, 577, 24128100
SSp-ul5, 625, 24128100
SSp-ul6a, 945, 24128100
SSp-ul6b, 1026, 24128100
SSp-tr1, 1006, 24128100
SSp-tr2/3, 670, 24128100
SSp-tr4, 1086, 24128100
SSp-tr5, 1111, 24128100
SSp-tr6a, 9, 24128100
SSp-tr6b, 461, 24128100
SSp-un1, 182305693, 24128100
SSp-un2/3, 182305697, 24128100
SSp-un4, 182305701, 24128100
SSp-un5, 182305705, 24128100
SSp-un6a, 182305709, 24128100
SSp-un6b, 182305713, 24128100
SSs1, 873, 24128100
SSs2/3, 806, 24128100
SSs4, 1035, 24128100
SSs5, 1090, 24128100
SSs6a, 862, 24128100
SSs6b, 893, 24128100
GU1, 36, 0156117
GU2/3, 180, 0156117
GU4, 148, 0156117
GU5, 187, 0156117
GU6a, 638, 0156117
GU6b, 662, 0156117
VISC1, 897, 17173131
VISC2/3, 1106, 17173131
VISC4, 1010, 17173131
VISC5, 1058, 17173131
VISC6a, 857, 17173131
VISC6b, 849, 17173131
AUDd1, 527, 1147153
AUDd2/3, 600, 1147153
AUDd4, 678, 1147153
AUDd5, 252, 1147153
AUDd6a, 156, 1147153
AUDd6b, 243, 1147153
AUDp1, 735, 1147153
AUDp2/3, 251, 1147153
AUDp4, 816, 1147153
AUDp5, 847, 1147153
AUDp6a, 954, 1147153
AUDp6b, 1005, 1147153
AUDpo1, 696, 1147153
AUDpo2/3, 643, 1147153
AUDpo4, 759, 1147153
AUDpo5, 791, 1147153
AUDpo6a, 249, 1147153
AUDpo6b, 456, 1147153
AUDv1, 959, 1147153
AUDv2/3, 755, 1147153
AUDv4, 990, 1147153
AUDv5, 1023, 1147153
AUDv6a, 520, 1147153
AUDv6b, 598, 1147153
VISal1, 1074, 8133140
VISal2/3, 905, 8133140
VISal4, 1114, 8133140
VISal5, 233, 8133140
VISal6a, 601, 8133140
VISal6b, 649, 8133140
VISam1, 281, 8133140
VISam2/3, 1066, 8133140
VISam4, 401, 8133140
VISam5, 433, 8133140
VISam6a, 1046, 8133140
VISam6b, 441, 8133140
VISl1, 421, 8133140
VISl2/3, 973, 8133140
VISl4, 573, 8133140
VISl5, 613, 8133140
VISl6a, 74, 8133140
VISl6b, 121, 8133140
VISp1, 593, 8133140
VISp2/3, 821, 8133140
VISp4, 721, 8133140
VISp5, 778, 8133140
VISp6a, 33, 8133140
VISp6b, 305, 8133140
VISpl1, 750, 8133140
VISpl2/3, 269, 8133140
